name,National №,Type,Species,Height,Weight,Abilities,Local №
Pinsir,127, Bug,Stag Beetle Pokémon,1.5 m (4′11″),55.0 kg (121.3 lbs), Hyper Cutter Mold Breaker Moxie, Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie
Tauros,128, Normal,Wild Bull Pokémon,1.4 m (4′07″),88.4 kg (194.9 lbs), Intimidate Anger Point Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Magikarp,129, Water,Fish Pokémon,0.9 m (2′11″),10.0 kg (22.0 lbs), Swift Swim Rattled, Rattled Rattled Rattled Rattled Rattled Rattled Rattled Rattled Rattled Rattled Rattled Rattled Rattled
Gyarados,130, Water Flying,Atrocious Pokémon,6.5 m (21′04″),235.0 kg (518.1 lbs), Intimidate Moxie, Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie
Lapras,131, Water Ice,Transport Pokémon,2.5 m (8′02″),220.0 kg (485.0 lbs), Water Absorb Shell Armor Hydration, Hydration Hydration Hydration Hydration Hydration Hydration Hydration Hydration Hydration Hydration
Ditto,132, Normal,Transform Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs), Limber Imposter, Imposter Imposter Imposter Imposter Imposter Imposter Imposter Imposter Imposter Imposter
Eevee,133, Normal,Evolution Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs), Run Away Adaptability Anticipation, Anticipation Anticipation Anticipation Anticipation Anticipation Anticipation Anticipation Anticipation Anticipation Anticipation Anticipation
Vaporeon,134, Water,Bubble Jet Pokémon,1.0 m (3′03″),29.0 kg (63.9 lbs), Water Absorb Hydration, Hydration Hydration Hydration Hydration Hydration Hydration Hydration Hydration Hydration Hydration Hydration
Jolteon,135, Electric,Lightning Pokémon,0.8 m (2′07″),24.5 kg (54.0 lbs), Volt Absorb Quick Feet, Quick Feet Quick Feet Quick Feet Quick Feet Quick Feet Quick Feet Quick Feet Quick Feet Quick Feet Quick Feet Quick Feet
Flareon,136, Fire,Flame Pokémon,0.9 m (2′11″),25.0 kg (55.1 lbs), Flash Fire Guts, Guts Guts Guts Guts Guts Guts Guts Guts Guts Guts Guts
Porygon,137, Normal,Virtual Pokémon,0.8 m (2′07″),36.5 kg (80.5 lbs), Trace Download Analytic, Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic
Omanyte,138, Rock Water,Spiral Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs), Swift Swim Shell Armor Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Omastar,139, Rock Water,Spiral Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs), Swift Swim Shell Armor Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Kabuto,140, Rock Water,Shellfish Pokémon,0.5 m (1′08″),11.5 kg (25.4 lbs), Swift Swim Battle Armor Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Kabutops,141, Rock Water,Shellfish Pokémon,1.3 m (4′03″),40.5 kg (89.3 lbs), Swift Swim Battle Armor Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Aerodactyl,142, Rock Flying,Fossil Pokémon,1.8 m (5′11″),59.0 kg (130.1 lbs), Rock Head Pressure Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve
Snorlax,143, Normal,Sleeping Pokémon,2.1 m (6′11″),460.0 kg (1014.1 lbs), Immunity Thick Fat Gluttony, Gluttony Gluttony Gluttony Gluttony Gluttony Gluttony Gluttony Gluttony Gluttony Gluttony Gluttony
Articuno,144, Ice Flying,Freeze Pokémon,1.7 m (5′07″),55.4 kg (122.1 lbs), Pressure Snow Cloak, Snow Cloak Snow Cloak Snow Cloak Snow Cloak Snow Cloak Snow Cloak
Zapdos,145, Electric Flying,Electric Pokémon,1.6 m (5′03″),52.6 kg (116.0 lbs), Pressure Static, Static Static Static Static Static Static
Moltres,146, Fire Flying,Flame Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs), Pressure Flame Body, Flame Body Flame Body Flame Body Flame Body Flame Body Flame Body
Dratini,147, Dragon,Dragon Pokémon,1.8 m (5′11″),3.3 kg (7.3 lbs), Shed Skin Marvel Scale, Marvel Scale Marvel Scale Marvel Scale Marvel Scale Marvel Scale Marvel Scale Marvel Scale Marvel Scale
Dragonair,148, Dragon,Dragon Pokémon,4.0 m (13′01″),16.5 kg (36.4 lbs), Shed Skin Marvel Scale, Marvel Scale Marvel Scale Marvel Scale Marvel Scale Marvel Scale Marvel Scale Marvel Scale Marvel Scale
Dragonite,149, Dragon Flying,Dragon Pokémon,2.2 m (7′03″),210.0 kg (463.0 lbs), Inner Focus Multiscale, Multiscale Multiscale Multiscale Multiscale Multiscale Multiscale Multiscale Multiscale
Mewtwo,150, Psychic,Genetic Pokémon,2.0 m (6′07″),122.0 kg (269.0 lbs), Pressure Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve
Mew,151, Psychic,New Species Pokémon,0.4 m (1′04″),4.0 kg (8.8 lbs), Synchronize, Synchronize Synchronize Synchronize Synchronize Synchronize
Chikorita,152, Grass,Leaf Pokémon,0.9 m (2′11″),6.4 kg (14.1 lbs), Overgrow Leaf Guard, Leaf Guard Leaf Guard
Bayleef,153, Grass,Leaf Pokémon,1.2 m (3′11″),15.8 kg (34.8 lbs), Overgrow Leaf Guard, Leaf Guard Leaf Guard
Meganium,154, Grass,Herb Pokémon,1.8 m (5′11″),100.5 kg (221.6 lbs), Overgrow Leaf Guard, Leaf Guard Leaf Guard
Cyndaquil,155, Fire,Fire Mouse Pokémon,0.5 m (1′08″),7.9 kg (17.4 lbs), Blaze Flash Fire, Flash Fire Flash Fire
Quilava,156, Fire,Volcano Pokémon,0.9 m (2′11″),19.0 kg (41.9 lbs), Blaze Flash Fire, Flash Fire Flash Fire
Typhlosion,157, Fire,Volcano Pokémon,1.7 m (5′07″),79.5 kg (175.3 lbs), Blaze Flash Fire, Flash Fire Flash Fire
Totodile,158, Water,Big Jaw Pokémon,0.6 m (2′00″),9.5 kg (20.9 lbs), Torrent Sheer Force, Sheer Force Sheer Force
Croconaw,159, Water,Big Jaw Pokémon,1.1 m (3′07″),25.0 kg (55.1 lbs), Torrent Sheer Force, Sheer Force Sheer Force
Feraligatr,160, Water,Big Jaw Pokémon,2.3 m (7′07″),88.8 kg (195.8 lbs), Torrent Sheer Force, Sheer Force Sheer Force
Sentret,161, Normal,Scout Pokémon,0.8 m (2′07″),6.0 kg (13.2 lbs), Run Away Keen Eye Frisk, Frisk Frisk Frisk
Furret,162, Normal,Long Body Pokémon,1.8 m (5′11″),32.5 kg (71.7 lbs), Run Away Keen Eye Frisk, Frisk Frisk Frisk
Hoothoot,163, Normal Flying,Owl Pokémon,0.7 m (2′04″),21.2 kg (46.7 lbs), Insomnia Keen Eye Tinted Lens, Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens
Noctowl,164, Normal Flying,Owl Pokémon,1.6 m (5′03″),40.8 kg (89.9 lbs), Insomnia Keen Eye Tinted Lens, Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens
Ledyba,165, Bug Flying,Five Star Pokémon,1.0 m (3′03″),10.8 kg (23.8 lbs), Swarm Early Bird Rattled, Rattled Rattled Rattled Rattled Rattled
Ledian,166, Bug Flying,Five Star Pokémon,1.4 m (4′07″),35.6 kg (78.5 lbs), Swarm Early Bird Iron Fist, Iron Fist Iron Fist Iron Fist Iron Fist Iron Fist
Spinarak,167, Bug Poison,String Spit Pokémon,0.5 m (1′08″),8.5 kg (18.7 lbs), Swarm Insomnia Sniper, Sniper Sniper Sniper Sniper Sniper
Ariados,168, Bug Poison,Long Leg Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs), Swarm Insomnia Sniper, Sniper Sniper Sniper Sniper Sniper
Crobat,169, Poison Flying,Bat Pokémon,1.8 m (5′11″),75.0 kg (165.3 lbs), Inner Focus Infiltrator, Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator
Chinchou,170, Water Electric,Angler Pokémon,0.5 m (1′08″),12.0 kg (26.5 lbs), Volt Absorb Illuminate Water Absorb, Water Absorb Water Absorb Water Absorb Water Absorb Water Absorb Water Absorb Water Absorb Water Absorb
Lanturn,171, Water Electric,Light Pokémon,1.2 m (3′11″),22.5 kg (49.6 lbs), Volt Absorb Illuminate Water Absorb, Water Absorb Water Absorb Water Absorb Water Absorb Water Absorb Water Absorb Water Absorb Water Absorb
Pichu,172, Electric,Tiny Mouse Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs), Static Lightning Rod, Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod
Cleffa,173, Fairy,Star Shape Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs), Cute Charm Magic Guard Friend Guard, Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard
Igglybuff,174, Normal Fairy,Balloon Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs), Cute Charm Competitive Friend Guard, Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard
Togepi,175, Fairy,Spike Ball Pokémon,0.3 m (1′00″),1.5 kg (3.3 lbs), Hustle Serene Grace Super Luck, Super Luck Super Luck Super Luck Super Luck
Togetic,176, Fairy Flying,Happiness Pokémon,0.6 m (2′00″),3.2 kg (7.1 lbs), Hustle Serene Grace Super Luck, Super Luck Super Luck Super Luck Super Luck
Natu,177, Psychic Flying,Tiny Bird Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs), Synchronize Early Bird Magic Bounce, Magic Bounce Magic Bounce Magic Bounce Magic Bounce Magic Bounce Magic Bounce
Xatu,178, Psychic Flying,Mystic Pokémon,1.5 m (4′11″),15.0 kg (33.1 lbs), Synchronize Early Bird Magic Bounce, Magic Bounce Magic Bounce Magic Bounce Magic Bounce Magic Bounce Magic Bounce
Mareep,179, Electric,Wool Pokémon,0.6 m (2′00″),7.8 kg (17.2 lbs), Static Plus, Plus Plus Plus Plus Plus
Flaaffy,180, Electric,Wool Pokémon,0.8 m (2′07″),13.3 kg (29.3 lbs), Static Plus, Plus Plus Plus Plus Plus
Ampharos,181, Electric,Light Pokémon,1.4 m (4′07″),61.5 kg (135.6 lbs), Static Plus, Plus Plus Plus Plus Plus
Bellossom,182, Grass,Flower Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs), Chlorophyll Healer, Healer Healer Healer Healer Healer Healer
Marill,183, Water Fairy,Aqua Mouse Pokémon,0.4 m (1′04″),8.5 kg (18.7 lbs), Thick Fat Huge Power Sap Sipper, Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper
Azumarill,184, Water Fairy,Aqua Rabbit Pokémon,0.8 m (2′07″),28.5 kg (62.8 lbs), Thick Fat Huge Power Sap Sipper, Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper
Sudowoodo,185, Rock,Imitation Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs), Sturdy Rock Head Rattled, Rattled Rattled Rattled Rattled Rattled Rattled Rattled Rattled
Politoed,186, Water,Frog Pokémon,1.1 m (3′07″),33.9 kg (74.7 lbs), Water Absorb Damp Drizzle, Drizzle Drizzle Drizzle Drizzle Drizzle
Hoppip,187, Grass Flying,Cottonweed Pokémon,0.4 m (1′04″),0.5 kg (1.1 lbs), Chlorophyll Leaf Guard Infiltrator, Infiltrator Infiltrator Infiltrator
Skiploom,188, Grass Flying,Cottonweed Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs), Chlorophyll Leaf Guard Infiltrator, Infiltrator Infiltrator Infiltrator
Jumpluff,189, Grass Flying,Cottonweed Pokémon,0.8 m (2′07″),3.0 kg (6.6 lbs), Chlorophyll Leaf Guard Infiltrator, Infiltrator Infiltrator Infiltrator
Aipom,190, Normal,Long Tail Pokémon,0.8 m (2′07″),11.5 kg (25.4 lbs), Run Away Pickup Skill Link, Skill Link Skill Link Skill Link Skill Link Skill Link
Sunkern,191, Grass,Seed Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs), Chlorophyll Solar Power Early Bird, Early Bird Early Bird Early Bird
Sunflora,192, Grass,Sun Pokémon,0.8 m (2′07″),8.5 kg (18.7 lbs), Chlorophyll Solar Power Early Bird, Early Bird Early Bird Early Bird
Yanma,193, Bug Flying,Clear Wing Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs), Speed Boost Compound Eyes Frisk, Frisk Frisk Frisk Frisk Frisk
Wooper,194, Water Ground,Water Fish Pokémon,0.4 m (1′04″),8.5 kg (18.7 lbs), Damp Water Absorb Unaware, Unaware Unaware Unaware Unaware Unaware Unaware
Quagsire,195, Water Ground,Water Fish Pokémon,1.4 m (4′07″),75.0 kg (165.3 lbs), Damp Water Absorb Unaware, Unaware Unaware Unaware Unaware Unaware Unaware
Espeon,196, Psychic,Sun Pokémon,0.9 m (2′11″),26.5 kg (58.4 lbs), Synchronize Magic Bounce, Magic Bounce Magic Bounce Magic Bounce Magic Bounce Magic Bounce Magic Bounce Magic Bounce Magic Bounce
Umbreon,197, Dark,Moonlight Pokémon,1.0 m (3′03″),27.0 kg (59.5 lbs), Synchronize Inner Focus, Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus
Murkrow,198, Dark Flying,Darkness Pokémon,0.5 m (1′08″),2.1 kg (4.6 lbs), Insomnia Super Luck Prankster, Prankster Prankster Prankster Prankster Prankster Prankster Prankster
Slowking,199, Water Psychic,Royal Pokémon,2.0 m (6′07″),79.5 kg (175.3 lbs), Oblivious Own Tempo Regenerator, Regenerator Regenerator Regenerator Regenerator Regenerator
Misdreavus,200, Ghost,Screech Pokémon,0.7 m (2′04″),1.0 kg (2.2 lbs), Levitate, Levitate Levitate Levitate Levitate Levitate Levitate
Unown,201, Psychic,Symbol Pokémon,0.5 m (1′08″),5.0 kg (11.0 lbs), Levitate, Levitate Levitate Levitate Levitate
Wobbuffet,202, Psychic,Patient Pokémon,1.3 m (4′03″),28.5 kg (62.8 lbs), Shadow Tag Telepathy, Telepathy Telepathy Telepathy Telepathy Telepathy Telepathy
Girafarig,203, Normal Psychic,Long Neck Pokémon,1.5 m (4′11″),41.5 kg (91.5 lbs), Inner Focus Early Bird Sap Sipper, Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper
Pineco,204, Bug,Bagworm Pokémon,0.6 m (2′00″),7.2 kg (15.9 lbs), Sturdy Overcoat, Overcoat Overcoat Overcoat
Forretress,205, Bug Steel,Bagworm Pokémon,1.2 m (3′11″),125.8 kg (277.3 lbs), Sturdy Overcoat, Overcoat Overcoat Overcoat
Dunsparce,206, Normal,Land Snake Pokémon,1.5 m (4′11″),14.0 kg (30.9 lbs), Serene Grace Run Away Rattled, Rattled Rattled Rattled Rattled Rattled
Gligar,207, Ground Flying,FlyScorpion Pokémon,1.1 m (3′07″),64.8 kg (142.9 lbs), Hyper Cutter Sand Veil Immunity, Immunity Immunity Immunity Immunity Immunity
Steelix,208, Steel Ground,Iron Snake Pokémon,9.2 m (30′02″),400.0 kg (881.8 lbs), Rock Head Sturdy Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Snubbull,209, Fairy,Fairy Pokémon,0.6 m (2′00″),7.8 kg (17.2 lbs), Intimidate Run Away Rattled, Rattled Rattled Rattled Rattled Rattled
Granbull,210, Fairy,Fairy Pokémon,1.4 m (4′07″),48.7 kg (107.4 lbs), Intimidate Quick Feet Rattled, Rattled Rattled Rattled Rattled Rattled
Qwilfish,211, Water Poison,Balloon Pokémon,0.5 m (1′08″),3.9 kg (8.6 lbs), Poison Point Swift Swim Intimidate, Intimidate Intimidate Intimidate Intimidate
Scizor,212, Bug Steel,Pincer Pokémon,1.8 m (5′11″),118.0 kg (260.1 lbs), Swarm Technician Light Metal, Light Metal Light Metal Light Metal Light Metal Light Metal Light Metal
Shuckle,213, Bug Rock,Mold Pokémon,0.6 m (2′00″),20.5 kg (45.2 lbs), Sturdy Gluttony Contrary, Contrary Contrary Contrary Contrary Contrary
Heracross,214, Bug Fighting,Single Horn Pokémon,1.5 m (4′11″),54.0 kg (119.0 lbs), Swarm Guts Moxie, Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie Moxie
Sneasel,215, Dark Ice,Sharp Claw Pokémon,0.9 m (2′11″),28.0 kg (61.7 lbs), Inner Focus Keen Eye Pickpocket, Pickpocket Pickpocket Pickpocket Pickpocket Pickpocket Pickpocket Pickpocket Pickpocket Pickpocket
Teddiursa,216, Normal,Little Bear Pokémon,0.6 m (2′00″),8.8 kg (19.4 lbs), Pickup Quick Feet Honey Gather, Honey Gather Honey Gather Honey Gather
Ursaring,217, Normal,Hibernator Pokémon,1.8 m (5′11″),125.8 kg (277.3 lbs), Guts Quick Feet Unnerve, Unnerve Unnerve Unnerve
Slugma,218, Fire,Lava Pokémon,0.7 m (2′04″),35.0 kg (77.2 lbs), Magma Armor Flame Body Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Magcargo,219, Fire Rock,Lava Pokémon,0.8 m (2′07″),55.0 kg (121.3 lbs), Magma Armor Flame Body Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Swinub,220, Ice Ground,Pig Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs), Oblivious Snow Cloak Thick Fat, Thick Fat Thick Fat Thick Fat Thick Fat Thick Fat Thick Fat
Piloswine,221, Ice Ground,Swine Pokémon,1.1 m (3′07″),55.8 kg (123.0 lbs), Oblivious Snow Cloak Thick Fat, Thick Fat Thick Fat Thick Fat Thick Fat Thick Fat Thick Fat
Corsola,222, Water Rock,Coral Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs), Hustle Natural Cure Regenerator, Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator
Remoraid,223, Water,Jet Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs), Hustle Sniper Moody, Moody Moody Moody Moody Moody Moody Moody Moody
Octillery,224, Water,Jet Pokémon,0.9 m (2′11″),28.5 kg (62.8 lbs), Suction Cups Sniper Moody, Moody Moody Moody Moody Moody Moody Moody Moody
Delibird,225, Ice Flying,Delivery Pokémon,0.9 m (2′11″),16.0 kg (35.3 lbs), Vital Spirit Hustle Insomnia, Insomnia Insomnia Insomnia Insomnia Insomnia Insomnia Insomnia
Mantine,226, Water Flying,Kite Pokémon,2.1 m (6′11″),220.0 kg (485.0 lbs), Swift Swim Water Absorb Water Veil, Water Veil Water Veil Water Veil Water Veil Water Veil Water Veil Water Veil Water Veil
Skarmory,227, Steel Flying,Armor Bird Pokémon,1.7 m (5′07″),50.5 kg (111.3 lbs), Keen Eye Sturdy Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Houndour,228, Dark Fire,Dark Pokémon,0.6 m (2′00″),10.8 kg (23.8 lbs), Early Bird Flash Fire Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve
Houndoom,229, Dark Fire,Dark Pokémon,1.4 m (4′07″),35.0 kg (77.2 lbs), Early Bird Flash Fire Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve
Kingdra,230, Water Dragon,Dragon Pokémon,1.8 m (5′11″),152.0 kg (335.1 lbs), Swift Swim Sniper Damp, Damp Damp Damp Damp Damp
Phanpy,231, Ground,Long Nose Pokémon,0.5 m (1′08″),33.5 kg (73.9 lbs), Pickup Sand Veil, Sand Veil Sand Veil Sand Veil Sand Veil
Donphan,232, Ground,Armor Pokémon,1.1 m (3′07″),120.0 kg (264.6 lbs), Sturdy Sand Veil, Sand Veil Sand Veil Sand Veil Sand Veil
Porygon2,233, Normal,Virtual Pokémon,0.6 m (2′00″),32.5 kg (71.7 lbs), Trace Download Analytic, Analytic Analytic Analytic Analytic Analytic
Stantler,234, Normal,Big Horn Pokémon,1.4 m (4′07″),71.2 kg (157.0 lbs), Intimidate Frisk Sap Sipper, Sap Sipper Sap Sipper
Smeargle,235, Normal,Painter Pokémon,1.2 m (3′11″),58.0 kg (127.9 lbs), Own Tempo Technician Moody, Moody Moody Moody Moody Moody
Tyrogue,236, Fighting,Scuffle Pokémon,0.7 m (2′04″),21.0 kg (46.3 lbs), Guts Steadfast Vital Spirit, Vital Spirit Vital Spirit Vital Spirit
Hitmontop,237, Fighting,Handstand Pokémon,1.4 m (4′07″),48.0 kg (105.8 lbs), Intimidate Technician Steadfast, Steadfast Steadfast Steadfast
Smoochum,238, Ice Psychic,Kiss Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs), Oblivious Forewarn Hydration, Hydration Hydration Hydration Hydration
Elekid,239, Electric,Electric Pokémon,0.6 m (2′00″),23.5 kg (51.8 lbs), Static Vital Spirit, Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit
Magby,240, Fire,Live Coal Pokémon,0.7 m (2′04″),21.4 kg (47.2 lbs), Flame Body Vital Spirit, Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit
Miltank,241, Normal,Milk Cow Pokémon,1.2 m (3′11″),75.5 kg (166.4 lbs), Thick Fat Scrappy Sap Sipper, Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper
Blissey,242, Normal,Happiness Pokémon,1.5 m (4′11″),46.8 kg (103.2 lbs), Natural Cure Serene Grace Healer, Healer Healer Healer Healer Healer Healer
Raikou,243, Electric,Thunder Pokémon,1.9 m (6′03″),178.0 kg (392.4 lbs), Pressure Inner Focus, Inner Focus Inner Focus
Entei,244, Fire,Volcano Pokémon,2.1 m (6′11″),198.0 kg (436.5 lbs), Pressure Inner Focus, Inner Focus Inner Focus
Suicune,245, Water,Aurora Pokémon,2.0 m (6′07″),187.0 kg (412.3 lbs), Pressure Inner Focus, Inner Focus Inner Focus
Larvitar,246, Rock Ground,Rock Skin Pokémon,0.6 m (2′00″),72.0 kg (158.7 lbs), Guts Sand Veil, Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil
Pupitar,247, Rock Ground,Hard Shell Pokémon,1.2 m (3′11″),152.0 kg (335.1 lbs), Shed Skin, Shed Skin Shed Skin Shed Skin Shed Skin Shed Skin Shed Skin
Tyranitar,248, Rock Dark,Armor Pokémon,2.0 m (6′07″),202.0 kg (445.3 lbs), Sand Stream Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve
Lugia,249, Psychic Flying,Diving Pokémon,5.2 m (17′01″),216.0 kg (476.2 lbs), Pressure Multiscale, Multiscale Multiscale
Ho-oh,250, Fire Flying,Rainbow Pokémon,3.8 m (12′06″),199.0 kg (438.7 lbs), Pressure Regenerator, Regenerator Regenerator
Celebi,251, Psychic Grass,Time Travel Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs), Natural Cure, Natural Cure Natural Cure
Treecko,252, Grass,Wood Gecko Pokémon,0.5 m (1′08″),5.0 kg (11.0 lbs), Overgrow Unburden, Unburden Unburden
Grovyle,253, Grass,Wood Gecko Pokémon,0.9 m (2′11″),21.6 kg (47.6 lbs), Overgrow Unburden, Unburden Unburden
Sceptile,254, Grass,Forest Pokémon,1.7 m (5′07″),52.2 kg (115.1 lbs), Overgrow Unburden, Unburden Unburden
Torchic,255, Fire,Chick Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs), Blaze Speed Boost, Speed Boost Speed Boost
Combusken,256, Fire Fighting,Young Fowl Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs), Blaze Speed Boost, Speed Boost Speed Boost
Blaziken,257, Fire Fighting,Blaze Pokémon,1.9 m (6′03″),52.0 kg (114.6 lbs), Blaze Speed Boost, Speed Boost Speed Boost
Mudkip,258, Water,Mud Fish Pokémon,0.4 m (1′04″),7.6 kg (16.8 lbs), Torrent Damp, Damp Damp
Marshtomp,259, Water Ground,Mud Fish Pokémon,0.7 m (2′04″),28.0 kg (61.7 lbs), Torrent Damp, Damp Damp
Swampert,260, Water Ground,Mud Fish Pokémon,1.5 m (4′11″),81.9 kg (180.6 lbs), Torrent Damp, Damp Damp
Poochyena,261, Dark,Bite Pokémon,0.5 m (1′08″),13.6 kg (30.0 lbs), Run Away Quick Feet Rattled, Rattled Rattled Rattled
Mightyena,262, Dark,Bite Pokémon,1.0 m (3′03″),37.0 kg (81.6 lbs), Intimidate Quick Feet Moxie, Moxie Moxie Moxie
Zigzagoon,263, Normal,TinyRaccoon Pokémon,0.4 m (1′04″),17.5 kg (38.6 lbs), Pickup Gluttony Quick Feet, Quick Feet Quick Feet Quick Feet Quick Feet
Linoone,264, Normal,Rushing Pokémon,0.5 m (1′08″),32.5 kg (71.7 lbs), Pickup Gluttony Quick Feet, Quick Feet Quick Feet Quick Feet Quick Feet
Wurmple,265, Bug,Worm Pokémon,0.3 m (1′00″),3.6 kg (7.9 lbs), Shield Dust Run Away, Run Away Run Away Run Away Run Away
Silcoon,266, Bug,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs), Shed Skin, Shed Skin Shed Skin Shed Skin Shed Skin
Beautifly,267, Bug Flying,Butterfly Pokémon,1.0 m (3′03″),28.4 kg (62.6 lbs), Swarm Rivalry, Rivalry Rivalry Rivalry Rivalry
Cascoon,268, Bug,Cocoon Pokémon,0.7 m (2′04″),11.5 kg (25.4 lbs), Shed Skin, Shed Skin Shed Skin Shed Skin Shed Skin
Dustox,269, Bug Poison,Poison Moth Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs), Shield Dust Compound Eyes, Compound Eyes Compound Eyes Compound Eyes Compound Eyes
Lotad,270, Water Grass,Water Weed Pokémon,0.5 m (1′08″),2.6 kg (5.7 lbs), Swift Swim Rain Dish Own Tempo, Own Tempo Own Tempo Own Tempo Own Tempo
Lombre,271, Water Grass,Jolly Pokémon,1.2 m (3′11″),32.5 kg (71.7 lbs), Swift Swim Rain Dish Own Tempo, Own Tempo Own Tempo Own Tempo Own Tempo
Ludicolo,272, Water Grass,Carefree Pokémon,1.5 m (4′11″),55.0 kg (121.3 lbs), Swift Swim Rain Dish Own Tempo, Own Tempo Own Tempo Own Tempo Own Tempo
Seedot,273, Grass,Acorn Pokémon,0.5 m (1′08″),4.0 kg (8.8 lbs), Chlorophyll Early Bird Pickpocket, Pickpocket Pickpocket Pickpocket
Nuzleaf,274, Grass Dark,Wily Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs), Chlorophyll Early Bird Pickpocket, Pickpocket Pickpocket Pickpocket
Shiftry,275, Grass Dark,Wicked Pokémon,1.3 m (4′03″),59.6 kg (131.4 lbs), Chlorophyll Early Bird Pickpocket, Pickpocket Pickpocket Pickpocket
Taillow,276, Normal Flying,TinySwallow Pokémon,0.3 m (1′00″),2.3 kg (5.1 lbs), Guts Scrappy, Scrappy Scrappy Scrappy
Swellow,277, Normal Flying,Swallow Pokémon,0.7 m (2′04″),19.8 kg (43.7 lbs), Guts Scrappy, Scrappy Scrappy Scrappy
Wingull,278, Water Flying,Seagull Pokémon,0.6 m (2′00″),9.5 kg (20.9 lbs), Keen Eye Hydration Rain Dish, Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish
