name,Egg Groups,Gender,Egg cycles
Nuzleaf, Field Grass, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Shiftry, Field Grass, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Taillow, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Swellow, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Wingull, Flying Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Pelipper, Flying Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Ralts, Amorphous Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Kirlia, Amorphous Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Gardevoir, Amorphous Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Surskit, Bug Water 1, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Masquerain, Bug Water 1, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Shroomish, Fairy Grass, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Breloom, Fairy Grass, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Slakoth, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Vigoroth, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Slaking, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Nincada, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Ninjask, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Shedinja, Mineral,,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Whismur, Field Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Loudred, Field Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Exploud, Field Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Makuhita, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Hariyama, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Azurill, Undiscovered, 25% male 75% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Nosepass, Mineral, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Skitty, Fairy Field, 25% male 75% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Delcatty, Fairy Field, 25% male 75% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Sableye, Human-Like, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Mawile, Fairy Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Aron, Monster, 50% male 50% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Lairon, Monster, 50% male 50% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Aggron, Monster, 50% male 50% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Meditite, Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Medicham, Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Electrike, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Manectric, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Plusle, Fairy, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Minun, Fairy, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Volbeat, Bug Human-Like, 100% male 0% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Illumise, Bug Human-Like, 0% male 100% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Roselia, Fairy Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Gulpin, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Swalot, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Carvanha, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Sharpedo, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Wailmer, Field Water 2, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Wailord, Field Water 2, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Numel, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Camerupt, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Torkoal, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Spoink, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Grumpig, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Spinda, Field Human-Like, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Trapinch, Bug Dragon, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Vibrava, Bug Dragon, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Flygon, Bug Dragon, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Cacnea, Grass Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Cacturne, Grass Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Swablu, Dragon Flying, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Altaria, Dragon Flying, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Zangoose, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Seviper, Dragon Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Lunatone, Mineral,,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Solrock, Mineral,,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Barboach, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Whiscash, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Corphish, Water 1 Water 3, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Crawdaunt, Water 1 Water 3, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Baltoy, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Claydol, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Lileep, Water 3, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Cradily, Water 3, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Anorith, Water 3, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Armaldo, Water 3, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Feebas, Dragon Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Milotic, Dragon Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Castform, Amorphous Fairy, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Kecleon, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Shuppet, Amorphous, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Banette, Amorphous, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Duskull, Amorphous, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Dusclops, Amorphous, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Tropius, Grass Monster, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Chimecho, Amorphous, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Absol, Field, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Wynaut, Undiscovered, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Snorunt, Fairy Mineral, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Glalie, Fairy Mineral, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Spheal, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Sealeo, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Walrein, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Clamperl, Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Huntail, Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Gorebyss, Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Relicanth, Water 1 Water 2, 87.5% male 12.5% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Luvdisc, Water 2, 25% male 75% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Bagon, Dragon, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Shelgon, Dragon, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Salamence, Dragon, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Beldum, Mineral,,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Metang, Mineral,,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Metagross, Mineral,,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Regirock, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Regice, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Registeel, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Latias, Undiscovered, 0% male 100% female,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Latios, Undiscovered, 100% male 0% female,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Kyogre, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Groudon, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Rayquaza, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Jirachi, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Deoxys, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Turtwig, Grass Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Grotle, Grass Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Torterra, Grass Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Chimchar, Field Human-Like, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Monferno, Field Human-Like, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Infernape, Field Human-Like, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Piplup, Field Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Prinplup, Field Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Empoleon, Field Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Starly, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Staravia, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Staraptor, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Bidoof, Field Water 1, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Bibarel, Field Water 1, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Kricketot, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Kricketune, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Shinx, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Luxio, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Luxray, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Budew, Undiscovered, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Roserade, Fairy Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Cranidos, Monster, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Rampardos, Monster, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Shieldon, Monster, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Bastiodon, Monster, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Burmy, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Wormadam, Bug, 0% male 100% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Mothim, Bug, 100% male 0% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Combee, Bug, 87.5% male 12.5% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Vespiquen, Bug, 0% male 100% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Pachirisu, Fairy Field, 50% male 50% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Buizel, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Floatzel, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Cherubi, Fairy Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Cherrim, Fairy Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Shellos, Amorphous Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Gastrodon, Amorphous Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Ambipom, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Drifloon, Amorphous, 50% male 50% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Drifblim, Amorphous, 50% male 50% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Buneary, Field Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Lopunny, Field Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Mismagius, Amorphous, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Honchkrow, Flying, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Glameow, Field, 25% male 75% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Purugly, Field, 25% male 75% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Chingling, Undiscovered, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Stunky, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Skuntank, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Bronzor, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Bronzong, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Bonsly, Undiscovered, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Mime Jr., Undiscovered, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Happiny, Undiscovered, 0% male 100% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Chatot, Flying, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Spiritomb, Amorphous, 50% male 50% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Gible, Dragon Monster, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Gabite, Dragon Monster, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Garchomp, Dragon Monster, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Munchlax, Undiscovered, 87.5% male 12.5% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Riolu, Undiscovered, 87.5% male 12.5% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Lucario, Field Human-Like, 87.5% male 12.5% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Hippopotas, Field, 50% male 50% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Hippowdon, Field, 50% male 50% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Skorupi, Bug Water 3, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Drapion, Bug Water 3, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Croagunk, Human-Like, 50% male 50% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Toxicroak, Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Carnivine, Grass, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Finneon, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Lumineon, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Mantyke, Undiscovered, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Snover, Grass Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Abomasnow, Grass Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Weavile, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Magnezone, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Lickilicky, Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Rhyperior, Field Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Tangrowth, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Electivire, Human-Like, 75% male 25% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Magmortar, Human-Like, 75% male 25% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Togekiss, Fairy Flying, 87.5% male 12.5% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Yanmega, Bug, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Leafeon, Field, 87.5% male 12.5% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Glaceon, Field, 87.5% male 12.5% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Gliscor, Bug, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Mamoswine, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Porygon-Z, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Gallade, Amorphous Human-Like, 100% male 0% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Probopass, Mineral, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Dusknoir, Amorphous, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Froslass, Fairy Mineral, 0% male 100% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Rotom, Amorphous,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Uxie, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Mesprit, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Azelf, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Dialga, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Palkia, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Heatran, Undiscovered, 50% male 50% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Regigigas, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Giratina, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Cresselia, Undiscovered, 0% male 100% female,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Phione, Fairy Water 1,,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Manaphy, Fairy Water 1,,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Darkrai, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Shaymin, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Arceus, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Victini, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Snivy, Field Grass, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Servine, Field Grass, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Serperior, Field Grass, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Tepig, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Pignite, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Emboar, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Oshawott, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Dewott, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Samurott, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Patrat, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Watchog, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Lillipup, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Herdier, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Stoutland, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Purrloin, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Liepard, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Pansage, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Simisage, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Pansear, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Simisear, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Panpour, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Simipour, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Munna, Field, 50% male 50% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Musharna, Field, 50% male 50% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Pidove, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Tranquill, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Unfezant, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Blitzle, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Zebstrika, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Roggenrola, Mineral, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Boldore, Mineral, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Gigalith, Mineral, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Woobat, Field Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Swoobat, Field Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Drilbur, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Excadrill, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Audino, Fairy, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Timburr, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Gurdurr, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Conkeldurr, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Tympole, Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Palpitoad, Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Seismitoad, Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Throh, Human-Like, 100% male 0% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Sawk, Human-Like, 100% male 0% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Sewaddle, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Swadloon, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Leavanny, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Venipede, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Whirlipede, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Scolipede, Bug, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Cottonee, Fairy Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Whimsicott, Fairy Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
