name,EV yield,Catch rate,Base Friendship,Base Exp.,Growth Rate
Misdreavus,"
1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),87,Fast
Unown,"
1 Attack, 1 Special Attack ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",70 (normal) (normal),118,Medium Fast
Wobbuffet,"
2 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Fast
Girafarig,"
2 Special Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),159,Medium Fast
Pineco,"
1 Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),58,Medium Fast
Forretress,"
2 Defense ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),163,Medium Fast
Dunsparce,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),145,Medium Fast
Gligar,"
1 Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),86,Medium Slow
Steelix,"
2 Defense ","25 (3.3% with PokéBall, full HP) (3.3% with PokéBall, full HP)",70 (normal) (normal),179,Medium Fast
Snubbull,"
1 Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),60,Fast
Granbull,"
2 Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),158,Fast
Qwilfish,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),88,Medium Fast
Scizor,"
2 Attack ","25 (3.3% with PokéBall, full HP) (3.3% with PokéBall, full HP)",70 (normal) (normal),175,Medium Fast
Shuckle,"
1 Defense, 1 Special Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),177,Medium Slow
Heracross,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),175,Slow
Sneasel,"
1 Speed ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",35 (lower than normal) (lower than normal),86,Medium Slow
Teddiursa,"
1 Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),66,Medium Fast
Ursaring,"
2 Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),175,Medium Fast
Slugma,"
1 Special Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),50,Medium Fast
Magcargo,"
2 Defense ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),151,Medium Fast
Swinub,"
1 Attack ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",70 (normal) (normal),50,Slow
Piloswine,"
1 HP, 1 Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),158,Slow
Corsola,"
1 Defense, 1 Special Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),144,Fast
Remoraid,"
1 Special Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),60,Medium Fast
Octillery,"
1 Attack, 1 Special Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),168,Medium Fast
Delibird,"
1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),116,Fast
Mantine,"
2 Special Defense ","25 (3.3% with PokéBall, full HP) (3.3% with PokéBall, full HP)",70 (normal) (normal),170,Slow
Skarmory,"
2 Defense ","25 (3.3% with PokéBall, full HP) (3.3% with PokéBall, full HP)",70 (normal) (normal),163,Slow
Houndour,"
1 Special Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",35 (lower than normal) (lower than normal),66,Slow
Houndoom,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),175,Slow
Kingdra,"
1 Attack, 1 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),243,Medium Fast
Phanpy,"
1 HP ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),66,Medium Fast
Donphan,"
1 Attack, 1 Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),175,Medium Fast
Porygon2,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),180,Medium Fast
Stantler,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),163,Slow
Smeargle,"
1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),88,Fast
Tyrogue,"
1 Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),42,Medium Fast
Hitmontop,"
2 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),159,Medium Fast
Smoochum,"
1 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),61,Medium Fast
Elekid,"
1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),72,Medium Fast
Magby,"
1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),73,Medium Fast
Miltank,"
2 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),172,Slow
Blissey,"
3 HP ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",140 (higher than normal) (higher than normal),608,Fast
Raikou,"
1 Special Attack, 2 Speed ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),261,Slow
Entei,"
1 HP, 2 Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),261,Slow
Suicune,"
1 Defense, 2 Special Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),261,Slow
Larvitar,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),60,Slow
Pupitar,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),144,Slow
Tyranitar,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),270,Slow
Lugia,"
3 Special Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),306,Slow
Ho-oh,"
3 Special Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),306,Slow
Celebi,"
3 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",100 (higher than normal) (higher than normal),270,Medium Slow
Treecko,"
1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Grovyle,"
2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Sceptile,"
3 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),239,Medium Slow
Torchic,"
1 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Combusken,"
1 Attack, 1 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Blaziken,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),239,Medium Slow
Mudkip,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Marshtomp,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Swampert,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),241,Medium Slow
Poochyena,"
1 Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),56,Medium Fast
Mightyena,"
2 Attack ","127 (16.6% with PokéBall, full HP) (16.6% with PokéBall, full HP)",70 (normal) (normal),147,Medium Fast
Zigzagoon,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),56,Medium Fast
Linoone,"
2 Speed ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),147,Medium Fast
Wurmple,"
1 HP ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),56,Medium Fast
Silcoon,"
2 Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),72,Medium Fast
Beautifly,"
3 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),178,Medium Fast
Cascoon,"
2 Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),72,Medium Fast
Dustox,"
3 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),173,Medium Fast
Lotad,"
1 Special Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),44,Medium Slow
Lombre,"
2 Special Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),119,Medium Slow
Ludicolo,"
3 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),216,Medium Slow
Seedot,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),44,Medium Slow
Nuzleaf,"
2 Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),119,Medium Slow
Shiftry,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),216,Medium Slow
Taillow,"
1 Speed ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),54,Medium Slow
Swellow,"
2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),159,Medium Slow
Wingull,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),54,Medium Fast
Pelipper,"
2 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),154,Medium Fast
Ralts,"
1 Special Attack ","235 (30.7% with PokéBall, full HP) (30.7% with PokéBall, full HP)",35 (lower than normal) (lower than normal),40,Slow
Kirlia,"
2 Special Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",35 (lower than normal) (lower than normal),97,Slow
Gardevoir,"
3 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),233,Slow
Surskit,"
1 Speed ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),54,Medium Fast
Masquerain,"
1 Special Attack, 1 Special Defense ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),159,Medium Fast
Shroomish,"
1 HP ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),59,Fluctuating
Breloom,"
2 Attack ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),161,Fluctuating
Slakoth,"
1 HP ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),56,Slow
Vigoroth,"
2 Speed ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),154,Slow
Slaking,"
3 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),252,Slow
Nincada,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),53,Erratic
Ninjask,"
2 Speed ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),160,Erratic
Shedinja,"
2 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),83,Erratic
Whismur,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),48,Medium Slow
Loudred,"
2 HP ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),126,Medium Slow
Exploud,"
3 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),221,Medium Slow
Makuhita,"
1 HP ","180 (23.5% with PokéBall, full HP) (23.5% with PokéBall, full HP)",70 (normal) (normal),47,Fluctuating
Hariyama,"
2 HP ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),166,Fluctuating
Azurill,"
1 HP ","150 (19.6% with PokéBall, full HP) (19.6% with PokéBall, full HP)",70 (normal) (normal),38,Fast
Nosepass,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),75,Medium Fast
Skitty,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),52,Fast
Delcatty,"
1 HP, 1 Speed ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),140,Fast
Sableye,"
1 Attack, 1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),133,Medium Slow
Mawile,"
1 Attack, 1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),133,Fast
Aron,"
1 Defense ","180 (23.5% with PokéBall, full HP) (23.5% with PokéBall, full HP)",35 (lower than normal) (lower than normal),66,Slow
Lairon,"
2 Defense ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",35 (lower than normal) (lower than normal),151,Slow
Aggron,"
3 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),239,Slow
Meditite,"
1 Speed ","180 (23.5% with PokéBall, full HP) (23.5% with PokéBall, full HP)",70 (normal) (normal),56,Medium Fast
Medicham,"
2 Speed ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),144,Medium Fast
Electrike,"
1 Speed ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),59,Slow
Manectric,"
2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),166,Slow
Plusle,"
1 Speed ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),142,Medium Fast
Minun,"
1 Speed ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),142,Medium Fast
Volbeat,"
1 Speed ","150 (19.6% with PokéBall, full HP) (19.6% with PokéBall, full HP)",70 (normal) (normal),151,Erratic
Illumise,"
1 Speed ","150 (19.6% with PokéBall, full HP) (19.6% with PokéBall, full HP)",70 (normal) (normal),151,Fluctuating
Roselia,"
2 Special Attack ","150 (19.6% with PokéBall, full HP) (19.6% with PokéBall, full HP)",70 (normal) (normal),140,Medium Slow
Gulpin,"
1 HP ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",70 (normal) (normal),60,Fluctuating
Swalot,"
2 HP ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),163,Fluctuating
Carvanha,"
1 Attack ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),61,Slow
Sharpedo,"
2 Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",35 (lower than normal) (lower than normal),161,Slow
Wailmer,"
1 HP ","125 (16.3% with PokéBall, full HP) (16.3% with PokéBall, full HP)",70 (normal) (normal),80,Fluctuating
Wailord,"
2 HP ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),175,Fluctuating
Numel,"
1 Special Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),61,Medium Fast
Camerupt,"
1 Attack, 1 Special Attack ","150 (19.6% with PokéBall, full HP) (19.6% with PokéBall, full HP)",70 (normal) (normal),161,Medium Fast
Torkoal,"
2 Defense ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),165,Medium Fast
Spoink,"
1 Special Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),66,Fast
Grumpig,"
2 Special Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),165,Fast
Spinda,"
1 Special Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),126,Fast
Trapinch,"
1 Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),58,Medium Slow
Vibrava,"
1 Attack, 1 Speed ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),119,Medium Slow
Flygon,"
1 Attack, 2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),234,Medium Slow
Cacnea,"
1 Special Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",35 (lower than normal) (lower than normal),67,Medium Slow
Cacturne,"
1 Attack, 1 Special Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",35 (lower than normal) (lower than normal),166,Medium Slow
Swablu,"
1 Special Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),62,Erratic
Altaria,"
2 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),172,Erratic
Zangoose,"
2 Attack ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),160,Erratic
Seviper,"
1 Attack, 1 Special Attack ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),160,Fluctuating
Lunatone,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),161,Fast
Solrock,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),161,Fast
Barboach,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),58,Medium Fast
Whiscash,"
2 HP ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),164,Medium Fast
Corphish,"
1 Attack ","205 (26.8% with PokéBall, full HP) (26.8% with PokéBall, full HP)",70 (normal) (normal),62,Fluctuating
Crawdaunt,"
2 Attack ","155 (20.3% with PokéBall, full HP) (20.3% with PokéBall, full HP)",70 (normal) (normal),164,Fluctuating
Baltoy,"
1 Special Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),60,Medium Fast
Claydol,"
2 Special Defense ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),175,Medium Fast
Lileep,"
1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),71,Erratic
Cradily,"
2 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),173,Erratic
Anorith,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),71,Erratic
Armaldo,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),173,Erratic
Feebas,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),40,Erratic
Milotic,"
2 Special Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),189,Erratic
Castform,"
1 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),147,Medium Fast
Kecleon,"
1 Special Defense ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),154,Medium Slow
Shuppet,"
1 Attack ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),59,Fast
Banette,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),159,Fast
Duskull,"
1 Special Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",35 (lower than normal) (lower than normal),59,Fast
Dusclops,"
1 Defense, 1 Special Defense ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",35 (lower than normal) (lower than normal),159,Fast
Tropius,"
2 HP ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),161,Slow
Chimecho,"
1 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),159,Fast
Absol,"
2 Attack ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),163,Medium Slow
Wynaut,"
1 HP ","125 (16.3% with PokéBall, full HP) (16.3% with PokéBall, full HP)",70 (normal) (normal),52,Medium Fast
Snorunt,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),60,Medium Fast
Glalie,"
2 HP ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),168,Medium Fast
Spheal,"
1 HP ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),58,Medium Slow
Sealeo,"
2 HP ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),144,Medium Slow
Walrein,"
3 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),239,Medium Slow
Clamperl,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),69,Erratic
Huntail,"
1 Attack, 1 Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),170,Erratic
Gorebyss,"
2 Special Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),170,Erratic
Relicanth,"
1 HP, 1 Defense ","25 (3.3% with PokéBall, full HP) (3.3% with PokéBall, full HP)",70 (normal) (normal),170,Slow
Luvdisc,"
1 Speed ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",70 (normal) (normal),116,Fast
Bagon,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),60,Slow
Shelgon,"
2 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),147,Slow
Salamence,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),270,Slow
Beldum,"
1 Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),60,Slow
Metang,"
2 Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),147,Slow
Metagross,"
3 Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),270,Slow
Regirock,"
3 Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),261,Slow
Regice,"
3 Special Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),261,Slow
Registeel,"
2 Defense, 1 Special Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),261,Slow
Latias,"
3 Special Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",90 (higher than normal) (higher than normal),270,Slow
Latios,"
3 Special Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",90 (higher than normal) (higher than normal),270,Slow
Kyogre,"
3 Special Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),302,Slow
Groudon,"
3 Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),302,Slow
Rayquaza,"
2 Attack, 1 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",0 (lower than normal) (lower than normal),306,Slow
Jirachi,"
3 HP ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",100 (higher than normal) (higher than normal),270,Slow
Deoxys,"
1 Attack, 1 Special Attack, 1 Speed ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),270,Slow
Turtwig,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),64,Medium Slow
Grotle,"
1 Attack, 1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Torterra,"
2 Attack, 1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),236,Medium Slow
Chimchar,"
1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Monferno,"
1 Special Attack, 1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Infernape,"
1 Attack, 1 Special Attack, 1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),240,Medium Slow
Piplup,"
1 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),63,Medium Slow
Prinplup,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Empoleon,"
3 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),239,Medium Slow
Starly,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),49,Medium Slow
Staravia,"
2 Speed ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),119,Medium Slow
